arc                                                                         ,file                                                            ,crc32
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,obj\mk\mk120000\model\mk120000_111_BM                           ,241F5DEB
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,rom\edit\mk120000_111_BM_dds                                    ,73850D05
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,obj\textures\dummy_NM                                           ,241F5DEB
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,obj\bd\bd110011\model\bd110011_BM                               ,241F5DEB
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,obj\textures\dummy_MM                                           ,241F5DEB
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,obj\bd\bd110011\model\bd110011                                  ,2749C8A8
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,obj\bd\bd110011\model\bd110011                                  ,58A15856
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,rom\edit\bd110011_mod                                           ,73850D05
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,obj\mk\mk120000\model\mk120000_100_BM                           ,241F5DEB
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,rom\edit\mk120000_100_BM_dds                                    ,73850D05
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,obj\mk\mk120000\model\mk120000_013_BM                           ,241F5DEB
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,rom\edit\mk120000_013_BM_dds                                    ,73850D05
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,obj\bd\bd110010\model\bd110010_BM                               ,241F5DEB
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,obj\bd\bd110010\model\bd110010                                  ,2749C8A8
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,obj\bd\bd110010\model\bd110010                                  ,58A15856
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,rom\edit\bd110010_mod                                           ,73850D05
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,obj\mk\mk120000\model\mk120000_009_BM                           ,241F5DEB
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,rom\edit\mk120000_009_BM_dds                                    ,73850D05
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,obj\mk\mk120000\model\mk120000_007_BM                           ,241F5DEB
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,rom\edit\mk120000_007_BM_dds                                    ,73850D05
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,obj\mk\mk120000\model\mk120000_012_BM                           ,241F5DEB
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,rom\edit\mk120000_012_BM_dds                                    ,73850D05
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,obj\pl\pl000000\model\pl000000_eyebrow_20_BM                    ,241F5DEB
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,rom\edit\pl000000_eyebrow_20_BM_dds                             ,73850D05
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,obj\pl\pl000000\model\pl000000_eyebrow_23_BM                    ,241F5DEB
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,rom\edit\pl000000_eyebrow_23_BM_dds                             ,73850D05
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,obj\mk\mk120000\model\mk120000_010_BM                           ,241F5DEB
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,rom\edit\mk120000_010_BM_dds                                    ,73850D05
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,obj\mk\mk120000\model\mk120000_107_BM                           ,241F5DEB
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,rom\edit\mk120000_107_BM_dds                                    ,73850D05
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,obj\mk\mk120000\model\mk120000_011_BM                           ,241F5DEB
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,rom\edit\mk120000_011_BM_dds                                    ,73850D05
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,obj\mk\mk120000\model\mk120000_001_BM                           ,241F5DEB
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,rom\edit\mk120000_001_BM_dds                                    ,73850D05
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,obj\mk\mk120000\model\mk120000_020_BM                           ,241F5DEB
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,rom\edit\mk120000_020_BM_dds                                    ,73850D05
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,obj\mk\mk120000\model\mk120000_106_BM                           ,241F5DEB
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,rom\edit\mk120000_106_BM_dds                                    ,73850D05
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,obj\mk\mk120000\model\mk120000_002_BM                           ,241F5DEB
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,rom\edit\mk120000_002_BM_dds                                    ,73850D05
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,obj\mk\mk120000\model\mk120000_014_BM                           ,241F5DEB
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,rom\edit\mk120000_014_BM_dds                                    ,73850D05
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,obj\pl\pl000000\edit\preset\face\mouth15                        ,6B6711A
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,rom\edit\mouth15_fedt_jntpreset                                 ,73850D05
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,obj\mk\mk120000\model\mk120000_008_BM                           ,241F5DEB
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,rom\edit\mk120000_008_BM_dds                                    ,73850D05
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,obj\mk\mk120000\model\mk120000_003_BM                           ,241F5DEB
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,rom\edit\mk120000_003_BM_dds                                    ,73850D05
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,obj\pl\pl000000\model\pl000000_eyebrow_24_BM                    ,241F5DEB
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,rom\edit\pl000000_eyebrow_24_BM_dds                             ,73850D05
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,obj\pl\pl000000\model\pl000000_eyebrow_22_BM                    ,241F5DEB
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,rom\edit\pl000000_eyebrow_22_BM_dds                             ,73850D05
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,obj\bd\bd110023\model\bd110023_BM                               ,241F5DEB
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,obj\bd\bd110023\model\bd110023                                  ,2749C8A8
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,obj\bd\bd110023\model\bd110023                                  ,58A15856
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,rom\edit\bd110023_mod                                           ,73850D05
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,obj\pl\pl000000\model\pl000000_eyebrow_27_BM                    ,241F5DEB
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,rom\edit\pl000000_eyebrow_27_BM_dds                             ,73850D05
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,obj\bd\bd110017\model\bd110017_BM                               ,241F5DEB
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,obj\bd\bd110017\model\bd110017                                  ,2749C8A8
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,obj\bd\bd110017\model\bd110017                                  ,58A15856
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,rom\edit\bd110017_mod                                           ,73850D05
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,obj\mk\mk120000\model\mk120000_110_BM                           ,241F5DEB
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,rom\edit\mk120000_110_BM_dds                                    ,73850D05
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,obj\mk\mk120000\model\mk120000_004_BM                           ,241F5DEB
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,rom\edit\mk120000_004_BM_dds                                    ,73850D05
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,obj\bd\bd110024\model\bd110024_BM                               ,241F5DEB
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,obj\bd\bd110024\model\bd110024                                  ,2749C8A8
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,obj\bd\bd110024\model\bd110024                                  ,58A15856
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,rom\edit\bd110024_mod                                           ,73850D05
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,obj\bd\bd110016\model\bd110016_BM                               ,241F5DEB
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,obj\bd\bd110016\model\bd110016                                  ,2749C8A8
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,obj\bd\bd110016\model\bd110016                                  ,58A15856
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,rom\edit\bd110016_mod                                           ,73850D05
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,obj\bd\bd110006\model\bd110006_BM                               ,241F5DEB
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,obj\bd\bd110006\model\bd110006                                  ,2749C8A8
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,obj\bd\bd110006\model\bd110006                                  ,58A15856
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,rom\edit\bd110006_mod                                           ,73850D05
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,obj\pl\pl000000\model\pl000000_eyebrow_07_BM                    ,241F5DEB
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,rom\edit\pl000000_eyebrow_07_BM_dds                             ,73850D05
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,obj\bd\bd110022\model\bd110022_BM                               ,241F5DEB
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,obj\bd\bd110022\model\bd110022                                  ,2749C8A8
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,obj\bd\bd110022\model\bd110022                                  ,58A15856
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,rom\edit\bd110022_mod                                           ,73850D05
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,obj\bd\bd110004\model\bd110004_BM                               ,241F5DEB
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,obj\bd\bd110004\model\bd110004                                  ,2749C8A8
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,obj\bd\bd110004\model\bd110004                                  ,58A15856
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,rom\edit\bd110004_mod                                           ,73850D05
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,obj\mk\mk120000\model\mk120000_105_BM                           ,241F5DEB
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,rom\edit\mk120000_105_BM_dds                                    ,73850D05
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,obj\pl\pl000000\model\pl000000_eyebrow_01_BM                    ,241F5DEB
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,rom\edit\pl000000_eyebrow_01_BM_dds                             ,73850D05
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,obj\mk\mk120000\model\mk120000_005_BM                           ,241F5DEB
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,rom\edit\mk120000_005_BM_dds                                    ,73850D05
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,obj\bd\bd110031\model\bd110031_BM                               ,241F5DEB
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,obj\bd\bd110031\model\bd110031                                  ,2749C8A8
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,obj\bd\bd110031\model\bd110031                                  ,58A15856
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,rom\edit\bd110031_mod                                           ,73850D05
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,obj\mk\mk120000\model\mk120000_006_BM                           ,241F5DEB
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,rom\edit\mk120000_006_BM_dds                                    ,73850D05
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,obj\pl\pl000000\model\pl000000_eyebrow_00_BM                    ,241F5DEB
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,rom\edit\pl000000_eyebrow_00_BM_dds                             ,73850D05
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,obj\bd\bd110008\model\bd110008_BM                               ,241F5DEB
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,obj\bd\bd110008\model\bd110008                                  ,2749C8A8
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,obj\bd\bd110008\model\bd110008                                  ,58A15856
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,rom\edit\bd110008_mod                                           ,73850D05
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,obj\bd\bd110013\model\bd110013_BM                               ,241F5DEB
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,obj\bd\bd110013\model\bd110013                                  ,2749C8A8
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,obj\bd\bd110013\model\bd110013                                  ,58A15856
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,rom\edit\bd110013_mod                                           ,73850D05
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,obj\bd\bd110026\model\bd110026_BM                               ,241F5DEB
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,obj\bd\bd110026\model\bd110026                                  ,2749C8A8
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,obj\bd\bd110026\model\bd110026                                  ,58A15856
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,rom\edit\bd110026_mod                                           ,73850D05
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,obj\mk\mk120000\model\mk120000_120_BM                           ,241F5DEB
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,rom\edit\mk120000_120_BM_dds                                    ,73850D05
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,obj\bd\bd110015\model\bd110015_BM                               ,241F5DEB
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,obj\bd\bd110015\model\bd110015                                  ,2749C8A8
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,obj\bd\bd110015\model\bd110015                                  ,58A15856
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,rom\edit\bd110015_mod                                           ,73850D05
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,obj\mk\mk120000\model\mk120000_021_BM                           ,241F5DEB
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,rom\edit\mk120000_021_BM_dds                                    ,73850D05
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,obj\hr\hr100077\model\hr100077                                  ,69A5C538
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,obj\hr\hr100077\model\hr100077_BM                               ,241F5DEB
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,obj\hr\hr100077\model\hr100077                                  ,2749C8A8
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,obj\hr\hr100077\model\hr100077                                  ,58A15856
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,rom\edit\hr100077_mod                                           ,73850D05
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,obj\mk\mk120000\model\mk120000_114_BM                           ,241F5DEB
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,rom\edit\mk120000_114_BM_dds                                    ,73850D05
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,obj\mk\mk120000\model\mk120000_118_BM                           ,241F5DEB
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,rom\edit\mk120000_118_BM_dds                                    ,73850D05
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,obj\bd\bd110025\model\bd110025_BM                               ,241F5DEB
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,obj\bd\bd110025\model\bd110025                                  ,2749C8A8
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,obj\bd\bd110025\model\bd110025                                  ,58A15856
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,rom\edit\bd110025_mod                                           ,73850D05
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,obj\mk\mk120000\model\mk120000_119_BM                           ,241F5DEB
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,rom\edit\mk120000_119_BM_dds                                    ,73850D05
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,obj\mk\mk120000\model\mk120000_017_BM                           ,241F5DEB
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,rom\edit\mk120000_017_BM_dds                                    ,73850D05
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,obj\mk\mk120000\model\mk120000_115_BM                           ,241F5DEB
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,rom\edit\mk120000_115_BM_dds                                    ,73850D05
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,obj\bd\bd110014\model\bd110014_BM                               ,241F5DEB
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,obj\bd\bd110014\model\bd110014                                  ,2749C8A8
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,obj\bd\bd110014\model\bd110014                                  ,58A15856
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,rom\edit\bd110014_mod                                           ,73850D05
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,obj\mk\mk120000\model\mk120000_016_BM                           ,241F5DEB
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,rom\edit\mk120000_016_BM_dds                                    ,73850D05
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,obj\bd\bd110028\model\bd110028_BM                               ,241F5DEB
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,obj\bd\bd110028\model\bd110028                                  ,2749C8A8
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,obj\bd\bd110028\model\bd110028                                  ,58A15856
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,rom\edit\bd110028_mod                                           ,73850D05
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,obj\bd\bd110007\model\bd110007_BM                               ,241F5DEB
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,obj\bd\bd110007\model\bd110007                                  ,2749C8A8
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,obj\bd\bd110007\model\bd110007                                  ,58A15856
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,rom\edit\bd110007_mod                                           ,73850D05
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,obj\mk\mk120000\model\mk120000_000_BM                           ,241F5DEB
J:/Juegos/Dragon's Dogma Online//nativePC/rom/character_edit.arc            ,rom\edit\mk120000_000_BM_dds                                    ,73850D05
