keys,ja,en
ITEM_NAME_154,フランキスカ,Francisca
ITEM_NAME_155,インゴットクラブ,Ingot Club
ITEM_NAME_156,マスターオブデュエル,Master of Duel
ITEM_NAME_157,クロスチンクエディア,Crossed Cinquedea
ITEM_NAME_158,スティールビーク,Steel Beak
ITEM_NAME_159,ゴールドスティング,Gold Sting
ITEM_NAME_160,ヴァンキッシュエイジ,Vanquish Edge
ITEM_NAME_161,ガラティン,Galatine
ITEM_NAME_162,フェザリーペルテー,Feathery Pelta
ITEM_NAME_163,宣誓の盾,Shield of Oaths
ITEM_NAME_164,純白の誓いの盾,Shield of the Pure White
ITEM_NAME_165,シルバーソーン,Silver Thorn
ITEM_NAME_166,ティーバイスカード,Scarred Sentinel
ITEM_NAME_167,キメラの紋章の盾,Mark of the Chimera
ITEM_NAME_168,マークオブアリズン,Mark of the Arisen
ITEM_NAME_169,シャインタルジュ,Shine Targe
ITEM_NAME_170,スタークシュトイツ,Stark Stolz
ITEM_NAME_171,ボルドネス,Boldness
ITEM_NAME_172,神守り人の盾,Shield of the Divine Protector
ITEM_NAME_173,ドラゴンズシェル,Dragon's Shell
ITEM_NAME_174,インビンシブルシェイプ,Invincible Shape
ITEM_NAME_175,エンブレムオブセインツ,Emblem of Saints
ITEM_NAME_176,ブラッディハイド,Bloody Hide
ITEM_NAME_177,アルチザンボウ,Artisan Bow
ITEM_NAME_178,フリューテッドボウ,Fluted Bow
ITEM_NAME_179,ランケボーゲン,Ranke Bogen
ITEM_NAME_180,リバティーボウ,Liberty Bow
ITEM_NAME_181,ビッグボウ,Big Bow
ITEM_NAME_182,ベゼルリュウズ,Bezel Crown
ITEM_NAME_183,デヴァステイター,Devastator
ITEM_NAME_184,ラスターアカンサス,Lustre Acanthus
ITEM_NAME_185,ハンターボウ,Hunter Bow
ITEM_NAME_186,ウイングリフィン,Griffinsbane
ITEM_NAME_187,ハスクオブハイドラ,Hydra's Husk
ITEM_NAME_188,ハンドレッドマイルズ,Hundred Miles
ITEM_NAME_189,アイデアルアクト,Ideal Act
ITEM_NAME_190,スクロールヒルトボウ,Scroll Hilt Bow
ITEM_NAME_191,クリシュナ,Krishna
ITEM_NAME_192,エニグマ,Enigma
ITEM_NAME_193,エクスマーキナー,Ex Machina
ITEM_NAME_194,エルダーズアニマ,Elder's Anima
ITEM_NAME_195,ガーンディーヴァ,Gandiva
ITEM_NAME_196,ブライアシューター,Brier Shooter
ITEM_NAME_197,フィトアヒロ,Phytoahero
ITEM_NAME_198,スターディボウ,Sturdy Bow
ITEM_NAME_199,ノーブルヒルトボウ,Noble Hilt Bow
ITEM_NAME_200,オートアジャストボウ,Auto-Adjust Bow
ITEM_NAME_201,ゼノン,Zenon
ITEM_NAME_202,デアボリカ,Diabolica
ITEM_NAME_203,アグリームグラス,Agleam Glass
ITEM_NAME_204,ローズウィズダム,Rose Wisdom
ITEM_NAME_205,ドーンスタッフ,Dawn Staff
ITEM_NAME_206,ネイチャーホウル,Nature's Whole
ITEM_NAME_207,イリュージョニスト,Illusionist
ITEM_NAME_208,スカイアンカー,Sky Anchor
ITEM_NAME_209,ピルグラムスケイン,Pilgrim's Cane
ITEM_NAME_210,パームツリートップ,Palm's Treetop
ITEM_NAME_211,異界渡りの杖,Staff of Beyond the Rift
ITEM_NAME_212,アイアンスタッフ,Iron Staff
ITEM_NAME_213,ポータルインジケーター,Portal Indicator
ITEM_NAME_214,ネイルフリード,Nail Freed
ITEM_NAME_215,ゴブリンディスミサル,Goblin Dismissal
ITEM_NAME_216,ホワイトリベレーション,White Revelation
ITEM_NAME_217,スペルキャスティング,Spellcasting
ITEM_NAME_218,サイレントグレイス,Silent Grace
ITEM_NAME_219,カームリィクリング,Calmly Cling
ITEM_NAME_220,ファントムディセント,Phantom Descent
ITEM_NAME_221,魔破の杖,Staff of Magickal Destruction
ITEM_NAME_222,レラダフニ,Lela Daphne
ITEM_NAME_223,ハートオブダークネス,Heart of Darkness
ITEM_NAME_224,エトピリカ,Etupirka
ITEM_NAME_225,先駆者の杖,Staff of the Pathfinder
ITEM_NAME_226,アルパクティコ,Arpaktiko
ITEM_NAME_227,レリックイーター,Relic-Eater
ITEM_NAME_228,ノクターン,Nocturne
ITEM_NAME_229,パラレギプテロ,Para Regi Ptero
ITEM_NAME_230,アヴァロンズビーコン,Avalon's Beacon
ITEM_NAME_231,ディアボリックタロン,Diabolic Talon
ITEM_NAME_232,オルマイティーズアイ,Almighty's Eye
ITEM_NAME_233,ディバインイメージ,Divine Image
ITEM_NAME_234,トウィンクルヴィーナス,Twinkle Venus
ITEM_NAME_235,ヘルズペイン,Hell's Pain
ITEM_NAME_236,サインオブマーシー,Sign of Mercy
ITEM_NAME_237,フューリーロンド,Fury Rondeau
ITEM_NAME_238,バーデンオブシン,Burden of Sin
ITEM_NAME_239,シルバースパイン,Silver Spine
ITEM_NAME_240,パトリオットストーン,Patriot Stone
ITEM_NAME_243,セイヴァーボーン,Savior Borne
ITEM_NAME_244,ガイアセプター,Gaia Scepter
ITEM_NAME_245,ハンズオブレイン,Hands of Rain
ITEM_NAME_247,ストリクトルーリング,Strict Ruling
ITEM_NAME_248,ブリリアンス,Brilliance
ITEM_NAME_249,レアウドンウォール,Rare Wooden Wall
ITEM_NAME_250,メガリス,Megalith
ITEM_NAME_251,ブルーカイト,Blue Kite
ITEM_NAME_252,シャトーシェード,Setzschild
ITEM_NAME_253,ライアコンヘッド,Embossed Head
ITEM_NAME_254,バロールグレア,Valor Glare
ITEM_NAME_255,バスティオン,Bastion
ITEM_NAME_256,マークオブアドバンス,Mark of the Advance
ITEM_NAME_257,エンジェルスキン,Angelskin
ITEM_NAME_258,ゾンビグレイブ,Zombie Grave
ITEM_NAME_259,チェインドセパルカ,Chained Sepulchre
ITEM_NAME_260,タイラントスケイル,Tyrant's Scale
ITEM_NAME_261,エヴァーブレイブ,Everbrave
ITEM_NAME_262,セイヴァーフォート,Savior Fort
ITEM_NAME_263,フェイタルダイアグラム,Fatal Diagram
ITEM_NAME_264,ビザンティンガード,Byzantine Guard
ITEM_NAME_265,ウィザードオブウィザード,Wizard's Vizard
ITEM_NAME_266,エンゲイジメント,Engagement
ITEM_NAME_267,デッドマンズウォール,Dead Man's Wall
ITEM_NAME_268,ヘヴンズドア,Heaven's Door
ITEM_NAME_269,プラタナス,Platanus
ITEM_NAME_270,アンブレイカブル,Unbreakable
ITEM_NAME_271,ブラックアイギス,Black Aegis
ITEM_NAME_272,ヘルズキーパー,Hell's Keeper
ITEM_NAME_273,イルミナティーズウォッチ,Illuminati's Watch
ITEM_NAME_274,デュアルセンチネル,Dual Sentinel
ITEM_NAME_275,Ｄ.Ｒ.Ｉ.Ｐ.,D.R.I.P.
ITEM_NAME_276,ウェイキングディザスター,Waking Disaster
ITEM_NAME_277,バルディッシュダガー,Bardiche Daggers
ITEM_NAME_278,スロートカッター,Throatcutters
ITEM_NAME_279,スティレット,Stilettos
ITEM_NAME_280,ヴォウジェダガー,Vouge Daggers
ITEM_NAME_281,ダキアエネシス,Daciaensis
ITEM_NAME_282,ヘブンリーエッジ,Heavenly Edge
ITEM_NAME_283,シニストラ,Sinistra
ITEM_NAME_284,ブッシュワッカー,Bushwackers
ITEM_NAME_285,トリスケーレ,Triskele
ITEM_NAME_287,リザードスタッフド,Saurian's Bane
ITEM_NAME_288,ヒロイックスピアー,Heroic Spears
ITEM_NAME_289,ブリッツダガー,Blitz Daggers
ITEM_NAME_290,トータルエングレイバー,Total Engravers
ITEM_NAME_291,クライシスアヴォイド,Crisis Avoid
ITEM_NAME_293,ライオンハーテッド,Lionhearted
ITEM_NAME_294,プレージュドー,Prejuízo
ITEM_NAME_295,ライジングサン,Rising Sun
ITEM_NAME_296,サドネスアンドグラドネス,Sadness and Gladness
ITEM_NAME_297,ニルヴァーナ,Nirvana
ITEM_NAME_298,アポプトーシス,Apoptosis
ITEM_NAME_299,ダンスマカブル,Danse Macabre
ITEM_NAME_300,プレデターファング,Predator Fang
ITEM_NAME_301,クリスナーガヴェイン,Kris Naga Vein
ITEM_NAME_302,アゾット,Azoth
ITEM_NAME_303,スピリッツエッジ,Spirit's Edge
ITEM_NAME_304,クロノススレイヤー,Chronos Slayer
ITEM_NAME_305,フィアーデストラクション,Fear Destruction
ITEM_NAME_306,クレセントワンズ,Crescent Wand
ITEM_NAME_307,フィアスホーン,Fierce Horn
ITEM_NAME_308,マジカルブランチ,Magickal Branch
ITEM_NAME_309,エクリプス,Eclipse
ITEM_NAME_310,ソーサラーワンズ,Sorcerer's Wand
ITEM_NAME_311,ソウルハーヴェスト,Soul Harvest
ITEM_NAME_312,ルナサーガ,Lunar Saga
ITEM_NAME_313,ヴァリアントホーン,Valiant Horn
ITEM_NAME_314,ツイストサーペント,Twisted Serpent
ITEM_NAME_315,グラブドハート,Grabbed Heart
ITEM_NAME_316,イビルアイスペシメンス,Evil Eye Specimen
ITEM_NAME_317,エンシャントホーン,Ancient Horn
ITEM_NAME_318,パイアスルーツ,Pious Roots
ITEM_NAME_319,リリースオブフォーチュン,Release of Fortune
ITEM_NAME_320,イデアライズ,Idealise
ITEM_NAME_321,フライトラズリーン,Flight Lazurine
ITEM_NAME_322,エキストラクター,Extractor
ITEM_NAME_323,グレイスオブアポロ,Grace of Apollo
ITEM_NAME_324,ルズレスエンフォーサー,Ruthless Enforcer
ITEM_NAME_325,アビスドゥエラー,Abyss Dweller
ITEM_NAME_326,サインオブメナス,Sign of Menace
ITEM_NAME_327,フィロソフィア,Philosophia
ITEM_NAME_328,邪眼の大杖,Archistaff of the Evil Eye
ITEM_NAME_329,デビュデラヴィ,Début de la Vie
ITEM_NAME_330,レゾンデートル,Raison D'être
ITEM_NAME_331,パーペチュアルダーク,Perpetual Dark
ITEM_NAME_332,解放者の錫杖,Archistaff of the Liberator
ITEM_NAME_333,パピヨンレーヴ,Papillon Rêve
ITEM_NAME_334,ヴィクトリーズヘラルド,Victory's Herald
ITEM_NAME_335,シュルトウントズューネ,Schild und Sühne
ITEM_NAME_336,ムーンナハトシュテル,Mondnacht Schütteln
ITEM_NAME_337,モルゲングリューエン,Morgenglühen
ITEM_NAME_338,グルックスラッド,Glücksrad
ITEM_NAME_339,アスプロネライダ,Aspro Neraida
ITEM_NAME_340,ヴォルテクスフロウ,Vortex Flow
ITEM_NAME_341,ガンボルツァイト,Gunvoltzeit
ITEM_NAME_342,ツァウバークラフト,Zauberkraft
ITEM_NAME_343,ヴァイスメルクマール,Weiß Merkmale
ITEM_NAME_344,デンメルングリヒト,Dämmerungslicht
ITEM_NAME_345,ミーテムサイカーシス,Metempsychosis
ITEM_NAME_346,ケーリュケイオン,Kerukeion
ITEM_NAME_347,ジークシュトラーセ,Siegstraße
ITEM_NAME_348,クーニストラウム,Kunstraum
ITEM_NAME_349,レリジャスビヨンド,Religious Beyond
ITEM_NAME_350,ゴルトイーファイ,Goldify
ITEM_NAME_351,アンフィニッシュド,Unfinished
ITEM_NAME_352,グロスグラウベン,Großglauben
ITEM_NAME_353,ファーサイテッドアイ,Farsighted Eye
ITEM_NAME_354,フィトスポロス,Phytospóros
ITEM_NAME_355,クリフォプロセウケー,Krifo Proseuché
ITEM_NAME_356,レイゼホフヌン,Reize Hoffnung
ITEM_NAME_357,ブレデスモス,Vredesmos
ITEM_NAME_358,ガラントボーゲン,Galant Bogen
ITEM_NAME_359,ハイリガーベルグ,Heiliger Berg
ITEM_NAME_360,ケッツァーツウィリンゲ,Ketzer Zwillinge
ITEM_NAME_361,フラウスゲフュール,Frausgefühl
ITEM_NAME_362,フィナーレンシュラグ,Finalen Schlag
ITEM_NAME_363,エンピリアルフォース,Empyreal Force
ITEM_NAME_364,レイジングトゥルース,Raging Truth
ITEM_NAME_365,ウォーブレード,Warblade
ITEM_NAME_366,シャープコルム,Sharp Column
ITEM_NAME_367,アイアンアーチン,Iron Urchin
ITEM_NAME_368,フランベルジュ,Flamberge
ITEM_NAME_369,ランスソード,Lance Sword
ITEM_NAME_370,マッシブハンマー,Massive Hammer
ITEM_NAME_371,デスアダー,Dissuader
ITEM_NAME_372,フランベルジュフォーリン,Foreign Flamberge
ITEM_NAME_373,エレンクリーガー,Elfenkrieger
ITEM_NAME_374,グラップビクトリー,Glyph Victory
ITEM_NAME_375,ＤＤＤ,D D D
ITEM_NAME_376,ノブレスオブリージュ,Noblesse Oblige
ITEM_NAME_377,デモリッシュハンマー,Demolish Hammer
ITEM_NAME_378,セイビングブレイス,Saving Grace
ITEM_NAME_379,エッグスオブアゴニー,Egg of Agony
ITEM_NAME_380,トモスコロモス,Tomos Chromos
ITEM_NAME_381,ブラックマター,Black Matter
ITEM_NAME_383,オリュンポス,Olympus
ITEM_NAME_384,ゴルディオン,Gordion
ITEM_NAME_385,トライヘッド,Tri-Head
ITEM_NAME_386,ギルガメッシュランス,Gilgamesh Lance
ITEM_NAME_387,ハーテンクリンガ,Hartenklinger
ITEM_NAME_388,チェストブレイカー,Chestbreaker
ITEM_NAME_390,ダインスレイフ,Dáinsleif
ITEM_NAME_391,ビーストシンボル,Beast Symbol
ITEM_NAME_392,アナザーディメンション,Another Dimension
ITEM_NAME_394,アルビオン,Albion
ITEM_NAME_395,カロシタス,Callositas
ITEM_NAME_396,フェルムグラウィス,Ferrum Gravis
ITEM_NAME_397,メメントモリ,Memento Mori
ITEM_NAME_398,ロボストゥム,Robustum
ITEM_NAME_399,アエテルニタス,Aeternitas
ITEM_NAME_401,ホネスタティス,Honestatis
ITEM_NAME_402,ベラトール,Bellator
ITEM_NAME_403,アニスペクティドホース,Unexpected Force
ITEM_NAME_404,フェイタスグランス,Fates' Glance
ITEM_NAME_405,ウェリタス,Veritas
ITEM_NAME_406,アニムス,Animus
ITEM_NAME_407,テスタメントスケイル,Testament Scale
ITEM_NAME_408,ウィクトル,Victor
ITEM_NAME_409,アルカヌム,Arcanum
ITEM_NAME_410,ケントゥリア,Centuria
ITEM_NAME_411,アダマント,Adamant
ITEM_NAME_412,オスティウム,Ostium
ITEM_NAME_413,ポルタイルーキス,Portae Lucis
ITEM_NAME_414,ローレムクビト,Rorem Cubito
ITEM_NAME_415,ブラチウムスピリタス,Brachium Spiritus
ITEM_NAME_416,ソリテューデ,Solitude
ITEM_NAME_417,ニグラムコルプス,Nigrum Corpus
ITEM_NAME_418,テネブライドラジェル,Tenebrae de Ragel
ITEM_NAME_419,イクツステラム,Ichthus Terram
ITEM_NAME_421,アルスマグナ,Ars Magna
ITEM_NAME_422,ホーンドヘルム,Horned Helm
ITEM_NAME_423,ウルフヘッド,Wolf Head
ITEM_NAME_424,ブロンズヘルム,Bronze Helm
ITEM_NAME_425,ブロンズサーリット,Bronze Sallet
ITEM_NAME_426,ハイドアーマー,Hide Armor
ITEM_NAME_427,ブロンズプレート,Bronze Plate
ITEM_NAME_428,ドレッドアーマー,Dread Armor
ITEM_NAME_429,ガウディアーマー,Gaudy Armor
ITEM_NAME_430,バトルグリーブ,Battle Greaves
ITEM_NAME_431,ブロンズシューズ,Bronze Shoes
ITEM_NAME_432,カッパーグリーブ,Copper Greaves
ITEM_NAME_433,ガウディグリーブ,Gaudy Greaves
ITEM_NAME_434,レザーグラブ,Leather Gloves
ITEM_NAME_435,ブロンズガード,Bronze Guard
ITEM_NAME_436,エンブレムアーム,Emblem Arms
ITEM_NAME_437,ガウディブレイス,Gaudy Bracers
ITEM_NAME_438,レザーキャップ,Leather Cap
ITEM_NAME_439,レザーフード,Leather Hood
ITEM_NAME_440,トラベラーズフード,Traveler's Hood
ITEM_NAME_441,紅革のキャップ,Red Leather Cap
ITEM_NAME_442,ブレストアーマー,Breast Armor
ITEM_NAME_443,カッパーロリカ,Copper Lorica
ITEM_NAME_444,レザーアーマー,Leather Armor
ITEM_NAME_445,ラメラージャケット,Lamellar Jacket
ITEM_NAME_446,レザーボトム,Leather Bottoms
ITEM_NAME_447,チェインレッグス,Chainmail Legs
ITEM_NAME_448,スマートブーツ,Smart Boots
ITEM_NAME_449,コンポジットボトム,Composite Bottoms
ITEM_NAME_450,ワーカーグラブ,Worker Gloves
ITEM_NAME_451,ブロンズブレイス,Bronze Bracers
ITEM_NAME_452,弓使いの手袋,Archer's Gloves
ITEM_NAME_453,ラボラーグラブ,Laborer Gloves
ITEM_NAME_454,マジシャンズハット,Magician's Hat
ITEM_NAME_455,術師のフード,Neophyte's Hood
ITEM_NAME_456,ヒーラーフード,Healer's Hood
ITEM_NAME_457,明けの光輪,Halo of Beginning
ITEM_NAME_458,エプレンティスコート,Apprentice's Coat
ITEM_NAME_459,ハロウドローブ,Hallowed Robe
ITEM_NAME_460,ジョングルーラー,Jongleur's Wrap
ITEM_NAME_461,ダルマティカ,Dalmatica
ITEM_NAME_462,革のシューズ,Leather Shoes
ITEM_NAME_463,術師のブーツ,Neophyte's Boots
ITEM_NAME_464,草緑のシューズ,Grass-Green Shoes
ITEM_NAME_465,サガシティシューズ,Sagacity Shoes
ITEM_NAME_466,ブロンズバングル,Bronze Bangles
ITEM_NAME_467,タイガーバングル,Tiger Bangles
ITEM_NAME_468,マジシャンズバングル,Magician's Bangles
ITEM_NAME_469,オーラバングル,Aura Bangles
ITEM_NAME_470,ラウンドヘルム,Round Helm
ITEM_NAME_471,ギャリソンズメット,Garrison's Helmet
ITEM_NAME_472,ノーブルヘルム,Noble's Helm
ITEM_NAME_473,セントリーヘルム,Sentry Helm
ITEM_NAME_474,セージローブ,Sage's Robe
ITEM_NAME_475,ギャリソンズジャケット,Garrison's Jacket
ITEM_NAME_476,ノーブルジャケット,Noble Jacket
ITEM_NAME_477,カームローブ,Calm Robe
ITEM_NAME_478,エントリーブーツ,Entry Boots
ITEM_NAME_479,ギャリソンズブーツ,Garrison's Boots
ITEM_NAME_480,ノーブルグリーブ,Noble Greaves
ITEM_NAME_481,セントリーブーツ,Sentry Boots
ITEM_NAME_482,エントリーグラブ,Entry Gloves
ITEM_NAME_483,ハードナックル,Hard Knuckles
ITEM_NAME_484,ノーブルアーム,Noble Arm
ITEM_NAME_485,パワードグラブ,Powered Gloves
ITEM_NAME_486,ベネフィットマフラー,Benefit Muffler
ITEM_NAME_487,ミンストレルバンド,Minstrel's Band
ITEM_NAME_488,ステパノ,Stéphanos
ITEM_NAME_489,盗賊マスク,Thief's Mask
ITEM_NAME_490,サプライベスト,Supply Vest
ITEM_NAME_491,トラベラーズベスト,Traveler's Vest
ITEM_NAME_492,リーダーベスト,Leader's Vest
ITEM_NAME_493,サプライボトム,Supply Bottoms
ITEM_NAME_494,トラペゾイドブーツ,Trapezoid Boots
ITEM_NAME_495,レザーハイブーツ,Leather High Boots
ITEM_NAME_496,ベネフィットウェアS,Benefit Wear S
ITEM_NAME_497,トゥーハンズ,Two Hands
ITEM_NAME_498,コンバットハンズ,Combat Hands
ITEM_NAME_499,チュニック,Tunic
ITEM_NAME_500,トラベラーズシャツ,Traveler's Shirt
ITEM_NAME_501,ブロンズスケイル,Bronze Scale
ITEM_NAME_502,フィッシャーマンズシャツ,Fisherman's Shirt
ITEM_NAME_503,チェインブレイサー,Chain Bracers
ITEM_NAME_504,コンポジットベスト,Composite Vest
ITEM_NAME_505,ショートパンツ,Short Pants
ITEM_NAME_506,コットンホーズ,Cotton Hose
ITEM_NAME_507,フィッシャーマンズパンツ,Fisherman's Pants
ITEM_NAME_508,レザーパンツ,Leather Pants
ITEM_NAME_509,デニムホーズ,Denim Hose
ITEM_NAME_510,シーカータイツ,Seeker Tights
ITEM_NAME_511,レザークローク,Leather Cloak
ITEM_NAME_512,シェッドクローク,Shed Cloak
ITEM_NAME_513,スカラークローク,Scholar Cloak
ITEM_NAME_514,ブラウンケープ,Brown Cape
ITEM_NAME_515,ナイトケープ,Knight's Cape
ITEM_NAME_516,ベネフィットホーズS,Benefit Hose S
ITEM_NAME_517,ベネフィットクローク,Benefit Cloak
ITEM_NAME_518,ベネフィットウェアM,Benefit Wear M
ITEM_NAME_519,ベネフィットホーズM,Benefit Hose M
ITEM_NAME_520,ソレルヘルム,Sorel Helm
ITEM_NAME_521,バードヘルム,Battle Helm
ITEM_NAME_522,ブルートアーメット,Brute Armet
ITEM_NAME_523,ドラグーンヘルム,Dragon's Helm
ITEM_NAME_524,バトルサーリット,Battle Sallet
ITEM_NAME_525,スタディヘルム,Sturdy Helm
ITEM_NAME_526,セレニティヘルム,Serenity Helm
ITEM_NAME_527,悪鬼の兜,Fiend's Helmet
ITEM_NAME_528,ラプターヘルム,Raptor Helm
ITEM_NAME_529,ルーテナントヘルム,Lieutenant's Helm
ITEM_NAME_530,ヴァイキングヘルム,Viking Helm
ITEM_NAME_531,ギガントヘッド,Gigant Head
ITEM_NAME_532,ダスクヘルム,Dusk Helm
ITEM_NAME_533,グリプスヘルム,Gryphus Helm
ITEM_NAME_534,フェイスヘッド,Faith Head
ITEM_NAME_535,シルバーサーリット,Silver Sallet
ITEM_NAME_536,ガレアムグロリア,Galeam Gloria
ITEM_NAME_537,ナイトヘッドヘルム,Knight Head Helm
ITEM_NAME_538,ドゥールスガレア,Dolus Galea
ITEM_NAME_539,オプティマス,Optimus
ITEM_NAME_540,フェンリルヘッド,Fenrir Head
ITEM_NAME_541,憤怒のマスク,Mask of Wrath
ITEM_NAME_542,アミレックヘルム,Amilec Helm
ITEM_NAME_543,ルベドヘルム,Rubedo Helm
ITEM_NAME_544,蛮族王の兜,Barbarian Chief's Helm
ITEM_NAME_545,魔獣のアーメット,Chimeric Armet
ITEM_NAME_546,ソレムアーマー,Solemn Armor
ITEM_NAME_547,ロックアーマー,Rock Armor
