keys,ja,en
STAGE_NAME_88,死者の小窟,Small Cave Tombs
STAGE_NAME_89,棄てられた地下道,Abandoned Underground Passage
STAGE_NAME_90,カタコンベ,Catacombs
STAGE_NAME_91,バートランド墓地,Betland Cemetery
STAGE_NAME_92,死王の迷宮,Dead Lord's Labyrinth
STAGE_NAME_93,怨嗟の祠,Shrine of Resentment
STAGE_NAME_94,虚ろの小堂,Empty Chapel
STAGE_NAME_95,ホボリック洞穴,Hobolic Cave
STAGE_NAME_96,採掘師の隠れ道,Miners' Secret Route
STAGE_NAME_97,森民の地下道,Forest People's Tunnel
STAGE_NAME_98,潮騒洞窟,Roaring Tide Cave
STAGE_NAME_99,風鳴り洞窟,Howling Wind Cave
STAGE_NAME_100,断崖の坑道,Cliff Tunnels
STAGE_NAME_101,ボルド小坑道,Volden Narrow Tunnels
STAGE_NAME_102,盗賊の隠れ家,Bandit Hideaway
STAGE_NAME_103,悪鬼の岩窟,Fiend's Cavern
STAGE_NAME_104,南壁のひび,Southern Wall Fissure
STAGE_NAME_105,秘弓師の住居,Secret Bowmaker's Home
STAGE_NAME_106,レ・カルバス・パティーロ,Le Karvas Patiro
STAGE_NAME_107,レ・カルバス・ロタナ,Le Karvas Lotana
STAGE_NAME_108,レ・カルバス・サルトー,Le Karvas Salto
STAGE_NAME_109,レ・カルバス・アーマ,Le Karvas Arma
STAGE_NAME_110,深緑のテラス,Dark Green Terrace
STAGE_NAME_111,霊泉のテラス,Sacred Spring Terrace
STAGE_NAME_112,蒼葉のテラス,Greenleaf Terrace
STAGE_NAME_113,斜陽のテラス,Sunset Terrace
STAGE_NAME_114,月影のテラス,Moonlight Terrace
STAGE_NAME_115,ドリード排水路,Dreed Drainage Channels
STAGE_NAME_116,汚水溜め,Cesspool
STAGE_NAME_117,地下通用口,Underground Side Entrance
STAGE_NAME_118,不浄の地下水道,Foul Water Channel
STAGE_NAME_119,北側排水路,North Drainage Channel
STAGE_NAME_120,旧騎士団連絡路,Knights' Old Route
STAGE_NAME_121,中二階,Balcony
STAGE_NAME_122,浄水区,Purified Water Section
STAGE_NAME_123,旧騎士団資材庫,Knights' Old Storehouse
STAGE_NAME_124,湖岸地下室,Lakeside Cellar
STAGE_NAME_125,城の古井戸,Fort's Old Well
STAGE_NAME_126,テルの枯れ井戸,Tel's Withered Well
STAGE_NAME_127,村の枯れ井戸,Village's Abandoned Well
STAGE_NAME_128,旧鉱泉湧き口,Old Spring
STAGE_NAME_129,生活用水汲み場,Common Waterhole
STAGE_NAME_130,朽ちかけた井戸,Decaying Well
STAGE_NAME_131,啼き井戸,Keening Well
STAGE_NAME_132,賢者の古井戸,Sage's Old Well
STAGE_NAME_133,灯台下の古井戸,Lighthouse Old Well
STAGE_NAME_134,ハイデル街道の枯れ井戸,Abandoned Well on Hidell Road
STAGE_NAME_135,修練の祠,Training Chapel
STAGE_NAME_136,渓谷の小堂,Valley Chapel
STAGE_NAME_137,標の祠　ミスリウ森林深部,Mysree Grove Shrine
STAGE_NAME_138,山頂の小堂,Summit Chapel
STAGE_NAME_139,標の祠　ザンドラ禁域,Zandora Wastelands Shrine
STAGE_NAME_140,異界の狭間,The Rift
STAGE_NAME_141,ブリア海岸,Breya Coast
STAGE_NAME_142,異界の狭間,The Rift
STAGE_NAME_143,アーク,The Ark
STAGE_NAME_144,第二のアーク,The Second Ark
STAGE_NAME_145,第三のアーク,The Third Ark
STAGE_NAME_146,アーク,The Ark
STAGE_NAME_147,第二のアーク,The Second Ark
STAGE_NAME_148,第三のアーク,The Third Ark
STAGE_NAME_149,湖底連絡路,Lakebottom Connecting Passage
STAGE_NAME_150,戦鬼の影穴,War Demons' Hideout
STAGE_NAME_151,ドリード水路跡,Dreed Waterway Ruins
STAGE_NAME_152,キノザ治水路,Kinoza Flood Control Channel
STAGE_NAME_153,リンウッド地下水路,Lynwood Underground Waterway
STAGE_NAME_154,旧騎士団詰め所,Knights' Old Guardhouse
STAGE_NAME_155,バートランド地下道,Betland Underground Passage
STAGE_NAME_156,テゴル治水路,Tegor Flood Control Channel
STAGE_NAME_157,メルゴダ大水網,Mergoda Flood Channels
STAGE_NAME_158,蒼水路,Blue Waterway
STAGE_NAME_159,ミスリウ鍾乳洞,Mysree Limestone Cave
STAGE_NAME_160,魔獣の巣穴,Demon's Den
STAGE_NAME_161,狩人の抜け穴,Hunters' Secret Passage
STAGE_NAME_162,聖樹のテラス,Sacred Tree Terrace
STAGE_NAME_163,神花のテラス,Divine Blossom Terrace
STAGE_NAME_164,旧地下実験所,Old Underground Laboratory
STAGE_NAME_165,閉ざされた古井戸,Sealed Old Well
STAGE_NAME_166,掘削中の井戸,Partly-Dug Well
STAGE_NAME_167,呻きの枯れ井戸,Groaning Old Well
STAGE_NAME_168,術師の地下泉,Neophyte's Cellar
STAGE_NAME_169,取水場跡,Water Channel Ruins
STAGE_NAME_170,水陰の淵辺,Deep Water's Edge
STAGE_NAME_171,木陰の古井戸,Bower Old Well
STAGE_NAME_172,妖精の枯れ井戸,Fairy's Withered Well
STAGE_NAME_173,地下納骨堂,Underground Crypt
STAGE_NAME_174,st0000 テストステージ,st0000 Test stage 0
STAGE_NAME_175,st0001 裏読み検証ステージ,st0001 Event backstage room 1
STAGE_NAME_176,st0002 ランダム検証ステージ,st0002 Event backstage room 2
STAGE_NAME_177,st0003 カスタム検証ステージ,st0003 Event backstage room 3
STAGE_NAME_178,st0004 旧パーツ編集ステージ,st0004 Old Parts Edit Stage
STAGE_NAME_179,st0005 旧サウンド検証部屋,st0005 Sound testing stage
STAGE_NAME_180,st0006 ワールドオフセット動作確認部屋,st0006 World reset check room
STAGE_NAME_181,st0007 効果マテリアル部屋,st0007 Effect materials room
STAGE_NAME_182,st0008 ＡＩ検証部屋,st0008 AI Testing Room
STAGE_NAME_183,st0009 天候検証ステージ,st0009 Weather testing stage
STAGE_NAME_184,st0010 背景検証部屋,st0010 Backdrop testing room
STAGE_NAME_185,st0011 パーツ編集ステージ（skyあり）,st0011 Parts editing stage (with sky)
STAGE_NAME_186,st0012 パーツ編集ステージ（skyなし）,st0012 Parts Editing Stage (no sky)
STAGE_NAME_187,st0013 クライム検証部屋,st0013 Climbing testing room
STAGE_NAME_188,st0014 サウンド検証部屋2,st0014 Sound Testing stage 2
STAGE_NAME_189,st0015 モデル基準部屋（フィールド）,st0015 Standard model room (field)
STAGE_NAME_190,st0016 モデル基準部屋（ダンジョン）,st0016 Standard model room (dungeon)
STAGE_NAME_191,st0017 イベント検証部屋,st0017 Event testing room
STAGE_NAME_192,st0018 ＯＭ検証部屋,st0018 OM Testing Room
STAGE_NAME_193,st0020 テスト部屋（松田）,st0020 test room (Matsuda)
STAGE_NAME_194,st0021 テスト部屋（Ｋ２吉田）,st0021 test room (k2 yoshida)
STAGE_NAME_195,st0022 テスト部屋（Ｋ２近藤）,st0022 test room (K2 Kondo)
STAGE_NAME_196,st0023 テスト部屋（藤川）,st0023 test room (Fujikawa)
STAGE_NAME_197,st0024 テスト部屋（西増）,st0024 test room ( western addition)
STAGE_NAME_198,st0025 テスト部屋（北垣内）,st0025 test room (kitagakiuchi)
STAGE_NAME_199,st0026 テスト部屋（向井）,st0026 test room (mukai)
STAGE_NAME_200,st0027 テスト部屋（大宅）,st0027 test room (oya)
STAGE_NAME_201,st0028 テスト部屋（浦郷）,st0028 test room (urago)
STAGE_NAME_202,st0029 テスト部屋（渡辺）,st0029 test room (Watanabe)
STAGE_NAME_203,st0030 テスト部屋（ジュンウェイ）,st0030 test room ( Jungwei)
STAGE_NAME_204,st0031 テスト部屋（川崎）,st0031 test room (kawasaki)
STAGE_NAME_205,st0032 テスト部屋（坂本）,st0032 test room (sakamoto)
STAGE_NAME_206,st0033 テスト部屋（山本(高)）,"st0033 test room (Yamamoto, T.)"
STAGE_NAME_207,st0034 テスト部屋（坂野）,st0034 test room (bano)
STAGE_NAME_208,st0035 テスト部屋（浜島）,st0035 test room (hamashima)
STAGE_NAME_209,st0036 テスト部屋（田村）,st0036 test room (tamura)
STAGE_NAME_210,st0037 テスト部屋（伊藤(軍曹)）,st0037 testing room (ito)
STAGE_NAME_211,st0038 テスト部屋（品川）,st0038 test room (shinagawa)
STAGE_NAME_212,st0039 テスト部屋（今野）,st0039 test room (Konno)
STAGE_NAME_213,st0040 テスト部屋（クエスト班）,st0040 testing room (quest group)
STAGE_NAME_214,st0041 テスト部屋（レイドボス）,st0041 test room (raid boss)
STAGE_NAME_215,st0042 テスト部屋（樫本）,st0042 testing room (orc)
STAGE_NAME_216,st0043 テスト部屋（中谷）,st0043 test room (nakaya)
STAGE_NAME_217,st0044 テスト部屋（馬来）,st0044 test room ( Murai)
STAGE_NAME_218,st0045 テスト部屋（石橋）,st0045 test room (stone bridge)
STAGE_NAME_219,st0046 テスト部屋（上田）,st0046 testing room (ueda)
STAGE_NAME_220,st0050 企画検証部屋 00,st0050 planning and verification room 00
STAGE_NAME_221,st0051 企画検証部屋 01,st0051 planning and verification room 01
STAGE_NAME_222,st0052 企画検証部屋 02,st0052 planning and verification room 02
STAGE_NAME_223,st0053 企画検証部屋 03,st0053 planning and verification room 03
STAGE_NAME_224,st0054 企画検証部屋 04,st0054 planning and verification room 04
STAGE_NAME_225,st0055 企画検証部屋 05,st0055 planning and verification room 05
STAGE_NAME_226,st0056 企画検証部屋 06,st0056 planning and verification room 06
STAGE_NAME_227,st0057 企画検証部屋 07,st0057 planning and verification room 07
STAGE_NAME_228,st0058 企画検証部屋 08,st0058 planning and verification room 08
STAGE_NAME_229,st0059 企画検証部屋 （ステージ班用）,st0059 Planning and Verification Room (for Staging Team)
STAGE_NAME_230,グリッテン砦前　戦野,Battlefield outside Gritten Fort
STAGE_NAME_231,旧水汲み場,Old Waterhole
STAGE_NAME_232,ムービー再生部屋 (st0150),Movie Playback Room (st0150)
STAGE_NAME_233,キャラエディット部屋(st0160),Character Edit Room (st0160)
STAGE_NAME_234,st0019 パーツダンジョン検証部屋,st0019 Dungeon parts testing room
STAGE_NAME_235,st0060 OM検証部屋（機能ありOM）,st0060 OM verification room (functional OM)
STAGE_NAME_236,st0061 OM検証部屋（機能なしOM）,st0061 OM verification room (OM without functions)
STAGE_NAME_237,メルゴダ居住区,Mergoda Residential Area
STAGE_NAME_238,ハイデル地下霊廟　深部,Hidell Catacombs Depths
STAGE_NAME_239,ハイデル地下霊廟　最深部,Hidell Catacombs Innermost Depths
STAGE_NAME_240,アーク,The Ark
STAGE_NAME_241,st0062 シェーダー回収部屋１,st0062 shader collection room 1
STAGE_NAME_242,st0063 シェーダー回収部屋２,st0063 shader collection room 2
STAGE_NAME_243,st0064 シェーダー回収部屋３,st0064 shader collection room 3
STAGE_NAME_244,st0047 テスト部屋（成田）,st0047 test room (Narita)
STAGE_NAME_286,古の祭祀場,Ancient Place of Rituals
STAGE_NAME_288,亡都メルゴダ　王宮層,Mergoda Ruins: Royal Palace Level
STAGE_NAME_289,黄金宮,The Golden Palace
STAGE_NAME_290,青静の遺跡,Blue Stillness Ruins
STAGE_NAME_293,冥き大地下墓地,Dark Tree Great Catacombs
STAGE_NAME_300,グリッテン砦,Gritten Fort
STAGE_NAME_303,パブ用ステージ,Pubs' Stage
STAGE_NAME_304,エンディング用部屋,Ending Office
STAGE_NAME_305,st0070 ポーンダンジョン処理計測部屋,st0070 pawn dungeon handling test room
STAGE_NAME_306,st0071 アーク処理計測部屋,st0071 Arc Processing Measurement Room
STAGE_NAME_307,st0048 テスト部屋（矢萩）,st0048 test room (yahagi)
STAGE_NAME_308,メルゴダ護政区,Mergoda Security District
STAGE_NAME_316,侵食魔の巣窟,Infected Den
STAGE_NAME_317,調査隊駐屯地,Expedition Garrison
STAGE_NAME_318,不浄の掃き溜め,Cesspool of Filth
STAGE_NAME_319,滝鳴洞穴,Waterfall Echo Cavern
STAGE_NAME_320,群像の岩屋,Picturesque Grotto
STAGE_NAME_321,侵食魔の巣窟　奥底,Infected Den Depths
STAGE_NAME_322,菌糸の襲窟,Fungal Colony Caves
STAGE_NAME_329,騎士団補給所跡,Knights' Depot Ruins
STAGE_NAME_330,氷気の遺路,Frigid Ancient Passage
STAGE_NAME_331,せせらぎの地下聖堂,Crypt of Murmurs
STAGE_NAME_332,ドリード連絡路,Dreed Connecting Passage
STAGE_NAME_333,モルトバ遺跡,Moltova Ruins
STAGE_NAME_334,ガルドノック廃水廊,Gardnox Wastewater Tunnel
STAGE_NAME_335,魔赤島,Bloodbane Isle
STAGE_NAME_336,魔赤島・絶崖,Bloodbane Isle Precipice
STAGE_NAME_337,魔赤島・山頂,Bloodbane Isle Summit
STAGE_NAME_339,守り人の庵,Protector's Retreat
STAGE_NAME_340,モルフォール・セントラム,Morfaul Centrum
STAGE_NAME_341,ダナ・セントラム,Dana Centrum
STAGE_NAME_342,レオのアジト,Leo's Hideout
STAGE_NAME_347,クラン拠点,Clan Hall
STAGE_NAME_348,覚者の自室,Arisen's Room
STAGE_NAME_349,鍛練の小部屋,Training Room
STAGE_NAME_350,メイリーフの寝室,Mayleaf's Bedroom
STAGE_NAME_351,st0080 40/50しがみつき段差,st0080 40/50 clinging steps
STAGE_NAME_352,st0081 40/50クライム段差,st0081 40/50 climbing steps
STAGE_NAME_353,st0082 40/40しがみつき円柱,st0082 40/40 clinging cylinders
STAGE_NAME_354,st0083 40/40クライム円柱,st0083 40/40 Climbing cylinders
STAGE_NAME_355,st0084 50/50しがみつき中央段差,st0084 50/50 clinging central step
STAGE_NAME_356,st0085 60/30細長,st0085 60/30 narrow length
STAGE_NAME_357,st0086 60/30細長段差,st0086 60/30 long narrow step
STAGE_NAME_358,st0087 10～12谷間,st0087 10-12 time valley
STAGE_NAME_359,st0088 二重床・スロープ,st0088 double floor and slope
STAGE_NAME_360,st0089 細長柱,st0089 slender columns
STAGE_NAME_361,淀みの渦,Vortex of Stagnation
STAGE_NAME_362,淀みの渦,Vortex of Stagnation
STAGE_NAME_363,叫びの竪穴,Pit of Screams
STAGE_NAME_364,見捨てられた井戸,Forsaken Well
STAGE_NAME_365,小塔傍の枯れ井戸,Dried Well by the Tower
STAGE_NAME_366,ファーラナ遺跡,Farana Ruins
STAGE_NAME_367,聖河の遺跡,Sacred River Ruins
STAGE_NAME_368,ネビュラ小神殿,Nebula Temple
STAGE_NAME_369,アンビュロス大遺跡 ,Amburos Great Ruins
STAGE_NAME_371,ファーラナ平原,Farana Plains
STAGE_NAME_372,エラン水林,Elan Water Grove
STAGE_NAME_373,キンガル峡谷,Kingal Canyon
STAGE_NAME_374,モロー樹林,Morrow Forest
STAGE_NAME_375,シェドレアン大神殿,Shadolean Great Temple
STAGE_NAME_376,シェドレアン大神殿,Shadolean Great Temple
STAGE_NAME_377,グリンデュア・セントラム,Glyndwr Centrum
STAGE_NAME_378,サウザネル侵林,Sauzanel Infected Woods
STAGE_NAME_379,聖雫の間,Between Sacred Drops
STAGE_NAME_380,精霊竜のねぐら,Spirit Dragon's Roost
STAGE_NAME_381,精霊竜のねぐら,Spirit Dragon's Roost
STAGE_NAME_382,始まりの洞,Hollow of Beginnings
STAGE_NAME_383,始まりの洞,Hollow of Beginnings
STAGE_NAME_384,始まりの洞　集いの間　,Hollow of Beginnings: Gathering Area
STAGE_NAME_385,ヴェイガサス回廊,Vegasa Corridor
STAGE_NAME_386,ヴァルテブル・ホール,Valtable Hall
STAGE_NAME_387,追憶の枝,Branch of Remembrance
STAGE_NAME_388,懐旧の枝,Branch of Nostalgia
STAGE_NAME_389,悔恨の枝,Branch of Remorse
STAGE_NAME_390,静慮の枝,Branch of Contemplation
STAGE_NAME_397,知恵の小塔,Small Tower of Wisdom
STAGE_NAME_400,イヴァノスの塔,Tower of Ivanos
STAGE_NAME_401,武霊の庵,Spirit Arts Hut
STAGE_NAME_402,緑夜の庵,Green Nights Retreat
STAGE_NAME_403,ノーザナス侵林,Northerners Infected Woods
STAGE_NAME_404,ディプニエ大侵林,Deepney Great Forest
STAGE_NAME_405,異界の狭間　深層部,The Rift's Inner Depths
STAGE_NAME_406,アーク　裏層,The Ark's Lower Level
STAGE_NAME_408,橋向かいの坑道,The Tunnel across the Bridge
STAGE_NAME_409,陽射す地下洞,Sunlit Underground Cave
STAGE_NAME_410,灼熱の封鎖道,Scorching Blocked Passage
STAGE_NAME_411,マヌンの集落,Manun Village
STAGE_NAME_413,ダナンデール洞窟,Danandell Cave
STAGE_NAME_414,モローへの小路,Path to Morrow
STAGE_NAME_415,虹舞い洞窟,Dancing Rainbow Cave
STAGE_NAME_416,密林の鍾乳洞,Jungle Limestone Caves
STAGE_NAME_417,侵鬼の洞穴,Invading Demons Cave
STAGE_NAME_418,モローケイヴァン,Morrow Cavern
STAGE_NAME_419,ダナウィンの挑堂,Dunhain's Hall of Trials
STAGE_NAME_420,マグサス古水路,Magusas Ancient Watercourse
STAGE_NAME_422,ハディン地下古道,Hadin Underground Old Road
STAGE_NAME_423,古き地下水網,Ancient Underground Channels
STAGE_NAME_424,秘匿の実験場,Secret Proving Ground
STAGE_NAME_425,藤棚の枯井戸,Wisteria Arbor Withering Well
STAGE_NAME_426,流水の小路,Stream Alley
STAGE_NAME_427,霧幻のテラス,Misty Illusion Terrace
STAGE_NAME_428,飛天のテラス,Heavenly Terrace
STAGE_NAME_429,グリンメル遺跡,Grinmel Ruins
STAGE_NAME_430,ミスリウ古墳墓,Ancient Burial Mound
STAGE_NAME_431,罪人の修獄,Penitentiary
STAGE_NAME_432,幽玄の霊堂,Mysterious Mausoleum
STAGE_NAME_433,魔赤島,Bloodbane Isle
STAGE_NAME_434,ダナ族長の家,Dana Chief's Home
STAGE_NAME_435,モルフォール族長の家,Morfaul Chief's Home
STAGE_NAME_437,st0066 OM検証部屋ver2.0（機能ありOM）,st0066 OM verification room ver 2.0 (OM with functions)
STAGE_NAME_438,st0067 OM検証部屋ver2.0（機能なしOM）,st0067 OM verification room ver 2.0 (OM without functions)
STAGE_NAME_439,エラン採石洞,Elan Quarry Cave
STAGE_NAME_440,タラーテ集水路,Thalati Waterway
STAGE_NAME_442,ボルド大坑道,Volden Large Tunnels
STAGE_NAME_443,水声の瞑堂,Gurgling Meditation Temple
STAGE_NAME_444,魔赤島・山頂,Bloodbane Isle Summit
STAGE_NAME_446,異人の洞窟,The Foreigner's Cave
STAGE_NAME_448,古代地下宮,Ancient Underground Shrine
STAGE_NAME_449,異人の遺跡,The Foreigner's Remains
STAGE_NAME_450,異人の塔,The Foreigner's Tower
STAGE_NAME_451,旧船頭寄合所,Old Ferryman's Haunt
STAGE_NAME_452,古の祭祀場,Ancient Place of Rituals
STAGE_NAME_454,タラーテ集水路,Thalati Waterway
STAGE_NAME_455,シェドレアン大神殿,Shadolean Great Temple
STAGE_NAME_458,歪みの樹冠,Warped Canopy
STAGE_NAME_459,ファーラナ平原,Farana Plains
STAGE_NAME_460,クラン拠点ボードクエスト用検証部屋,Clan Hall Board Quest Verification Room
STAGE_NAME_461,ラスニテ山麓,Rathnite Foothills
STAGE_NAME_462,ラスニテ山麓　湖畔部,Rathnite Foothills Lakeside
STAGE_NAME_463,フェルヤナ荒原,Feryana Wilderness
STAGE_NAME_464,メガドシス高地,Megadosys Plateau
STAGE_NAME_465,ウルテカ山岳,Urteca Mountains
STAGE_NAME_466,ティネス砦,Fort Thines
STAGE_NAME_467,ティネス砦,Fort Thines
STAGE_NAME_468,ダクレイム砦,Dacreim Fortress
STAGE_NAME_469,異人の塔,The Foreigner's Tower
STAGE_NAME_471,異人の地下墓所,The Foreigner's Underground Tomb
STAGE_NAME_472,始まりの洞,Hollow of Beginnings
STAGE_NAME_476,ジフール砦,Jifule Fortress
STAGE_NAME_477,展望城,Lookout Castle
STAGE_NAME_478,展望城,Lookout Castle
STAGE_NAME_479,湖畔の洞窟,Lakeside Grotto
STAGE_NAME_480,ベルタ盗賊団のアジト,Bertha's Bandit Group Hideout
STAGE_NAME_481,秘泉への暗道,Dark Path to the Secret Spring
STAGE_NAME_482,秘泉の間,Before the Secret Spring
STAGE_NAME_486,城塞都市メガド 居住層,Fortress City Megado: Residential Level
STAGE_NAME_487,城塞都市メガド 居住層,Fortress City Megado: Residential Level
STAGE_NAME_488,城塞都市メガド 王宮層,Fortress City Megado: Royal Palace Level
STAGE_NAME_489,メガド離宮,Megado Detached Palace
STAGE_NAME_490,聖炎の参竜道,Sacred Flame Path
STAGE_NAME_491,聖炎の参竜道 上層,Sacred Flame Path: Upper Level
STAGE_NAME_493,ラスニテ地下水路,Rathnite Underground Waterway
STAGE_NAME_494,水源へ続く地下道,Reservoir Underground Tunnel
STAGE_NAME_495,冥府下りの洞穴,Cave of Hell's Descent
STAGE_NAME_496,イミズディット遺跡,Yimidhitt Ruins
STAGE_NAME_497,ウルタ古水路,Ulta Ancient Watercourse
STAGE_NAME_498,ラスニテ納骨廟,Rathnite Columbarium
STAGE_NAME_499,劫炎の祠堂,Shrine of the Eternal Blaze
STAGE_NAME_500,轟咆洞,Thundering Roar Cave
STAGE_NAME_501,安息無き地下水道,Restless Water Channel
STAGE_NAME_502,いつわりの遺構,False Remains
STAGE_NAME_504,メガド上水網,Megado Water Supply Network
STAGE_NAME_506,戦練の社,Shrine of Combat
STAGE_NAME_507,憩いの坑洞,Cave of Rest
STAGE_NAME_508,火垂れ山拝竜院,Firefall Mountain Dragon Temple
STAGE_NAME_509,悼まれぬ者の葬室,The Burial Chamber of the Unmourned
STAGE_NAME_511,ピレモス旅人宿,Piremoth Traveler's Inn
STAGE_NAME_512,ロスギル旅人宿,Rothgill Traveler's Inn
STAGE_NAME_513,エルセン商会,Trading Company
STAGE_NAME_514,民家,House
STAGE_NAME_515,民家,House
STAGE_NAME_516,王家の隠れ道,Royal Family's Secret Path
STAGE_NAME_517,メガド回廊,Megado Corridor
STAGE_NAME_518,メガド大聖堂,Megado Cathedral
STAGE_NAME_519,ティネス砦,Fort Thines
STAGE_NAME_520,メフィテ旅人宿,Mephite Traveler's Inn
STAGE_NAME_521,OM検証部屋ver3.0（機能ありOM）,OM verification room ver 3.0 (OM with functions)
STAGE_NAME_522,OM検証部屋ver3.0（機能なしOM）,OM verification room ver 3.0 (OM without functions)
STAGE_NAME_523,ボーナスダンジョン【XP】,Bonus Dungeon (XP)
STAGE_NAME_524,ボーナスダンジョン【リム】,Bonus Dungeon (R)
STAGE_NAME_525,ボーナスダンジョン【BO】,Bonus Dungeon (BO)
STAGE_NAME_526,ボーナスダンジョン【ゴールド】,Bonus Dungeon (G)
STAGE_NAME_548,[イベント]ED用黒のエフェクト部屋,[Event] Black effect room
STAGE_NAME_549,英霊眠りし道 ラスニテ山麓,Heroic Spirit Sleeping Path: Rathnite Foothills
STAGE_NAME_550,英霊眠りし道 祠,Heroic Spirit Sleeping Path: Shrine
STAGE_NAME_551,英霊眠りし道 洞窟,Heroic Spirit Sleeping Path: Cave
STAGE_NAME_552,英霊眠りし道 遺跡,Heroic Spirit Sleeping Path Ruins
